"Name","Year","origin"
"a dijiang",1992,"China"
"a lamusi",2012,"China"
"abdelhak aatakni",2012,"Arabic"
"talaat abada",2000,"Arabic"
"mohamed jamshid abadi",1948,"Persian"
"mariya vasilyevna abakumova tarabina",2008,"Slavic-Russian"
"aleksey aleksandrovich abalmasov",2004,"Slavic-Russian"
"salim abanoz",1996,"Turkey"
"enrique abaroa martnez",2000,"Hispanic-Iberian"
"tamila rashidovna abasova",2004,"Slavic-Russian"
"hctor abaunza",1968,"Hispanic-Iberian"
"sayed fahmy abaza",1920,"Arabic"
"ilyas abbadi",2012,"Arabic"
"mahmoud abbas",2000,"Arabic"
"mohamed fakhry rifaat abbas",1952,"Arabic"
"youssef mohamed abbas",1952,"Arabic"
"zulkifli abbas",1984,"SouthEastAsia"
"forough abbasi",2014,"Persian"
"soulmaz abbasi azad",2012,"Persian"
"clare abbott",2016,"AngloSaxon"
"khadija abbouda",2008,"Arabic"
"mohamed ibrahim abd elfatah mohamed",2000,"Arabic"
"mahmoud abd elkader",2008,"Arabic"
"mohamed ibrahim abd elsalam",2004,"Arabic"
"noha abd rabo",2008,"Arabic"
"reem wail abdalazem abdalazem elbossaty",2008,"Arabic"
"hossam abdalla",2016,"Arabic"
"hosam abdallah",1992,"Arabic"
"maged abdallah",1992,"Arabic"
"raida abdallah bader",1984,"Arabic"
"maha abdalsalam gouda",2016,"Arabic"
"mahmoud abdel aziz",2000,"Arabic"
"mohamed abdel ellah",2000,"Arabic"
"abdelgani hassan abdel fattah",1952,"Arabic"
"mohamed abdel fattah",2000,"Arabic"
"heba abdel gawad",2000,"Arabic"
"sara abdel gawad",2000,"Arabic"
"gamal amin abdel ghani",1992,"Arabic"
"ragy abdel hady",2004,"Arabic"
"osman abdel hafeez",1948,"Arabic"
"moustafa ali abdel halim",1976,"Arabic"
"mohamed abdel hamed",1984,"Arabic"
"ibrahim abdel hamid",1948,"Arabic"
"tamer mohamed abdel hamid",1992,"Arabic"
"ahmed elsayed abdel hamid mobarak",1972,"Arabic"
"dorri abdel kader said",1948,"Arabic"
"mohamed ali abdel kerim",1952,"Arabic"
"mohamed abdel khaled",1976,"Arabic"
"abdel latif abdel latif",1988,"Arabic"
