iso;industry;time;English;China;European;Hispanic;India;Japanese;Korean;Russian;Vietnamese;source
US;overall;1975_1979;0.825;0.022;0.083;0.029;0.019;0.006;0.003;0.012;0.001;uspto
US;overall;1980_1984;0.811;0.029;0.079;0.03;0.024;0.007;0.005;0.013;0.001;uspto
US;overall;1985_1989;0.798;0.036;0.075;0.032;0.029;0.008;0.006;0.014;0.002;uspto
US;overall;1990_1994;0.776;0.046;0.072;0.035;0.036;0.009;0.007;0.015;0.004;uspto
US;overall;1995_1999;0.739;0.065;0.068;0.039;0.048;0.009;0.008;0.018;0.005;uspto
US;overall;2000_2004;0.704;0.085;0.064;0.042;0.054;0.01;0.011;0.022;0.006;uspto
US;Chemicals;1975_2004;0.734;0.072;0.075;0.036;0.045;0.01;0.008;0.017;0.003;uspto
US;Computers;1975_2005;0.701;0.082;0.063;0.038;0.069;0.011;0.009;0.021;0.007;uspto
US;Pharmaceuticals;1975_2006;0.729;0.071;0.074;0.043;0.042;0.011;0.009;0.018;0.004;uspto
US;Electrical;1975_2007;0.716;0.08;0.068;0.037;0.049;0.011;0.011;0.021;0.007;uspto
US;Mechanical;1975_2008;0.804;0.032;0.071;0.035;0.026;0.007;0.006;0.016;0.002;uspto
US;Miscellaneous;1975_2009;0.813;0.029;0.07;0.038;0.021;0.006;0.006;0.014;0.003;uspto
US;bachelor_share;1990;0.876;0.027;0.023;0.024;0.023;0.006;0.005;0.004;0.012;1990_us_census
US;master_share;1990;0.789;0.067;0.034;0.022;0.054;0.009;0.007;0.008;0.01;1990_us_census
US;phd_share;1990;0.712;0.132;0.04;0.017;0.065;0.009;0.015;0.005;0.004;1990_us_census
