,min_proba,min_distance,max_entropy,sample_fraction,accuracy,f1
104,0.7,0.5,1.75,0.813,0.939,0.939
103,0.7,0.5,2.0,0.813,0.939,0.939
102,0.7,0.5,10.0,0.813,0.939,0.939
96,0.7,0.3,10.0,0.817,0.937,0.937
90,0.7,0.0,10.0,0.817,0.937,0.937
91,0.7,0.0,2.0,0.817,0.937,0.937
93,0.7,0.2,10.0,0.817,0.937,0.937
94,0.7,0.2,2.0,0.817,0.937,0.937
95,0.7,0.2,1.75,0.817,0.937,0.937
92,0.7,0.0,1.75,0.817,0.937,0.937
97,0.7,0.3,2.0,0.817,0.937,0.937
98,0.7,0.3,1.75,0.817,0.937,0.937
99,0.7,0.4,10.0,0.817,0.937,0.937
100,0.7,0.4,2.0,0.817,0.937,0.937
101,0.7,0.4,1.75,0.817,0.937,0.937
87,0.65,0.5,10.0,0.824,0.933,0.933
89,0.65,0.5,1.75,0.824,0.933,0.933
88,0.65,0.5,2.0,0.824,0.933,0.933
58,0.55,0.5,2.0,0.828,0.933,0.932
74,0.6,0.5,1.75,0.828,0.933,0.932
43,0.5,0.5,2.0,0.828,0.933,0.932
44,0.5,0.5,1.75,0.828,0.933,0.932
29,0.45,0.5,1.75,0.828,0.933,0.932
28,0.45,0.5,2.0,0.828,0.933,0.932
27,0.45,0.5,10.0,0.828,0.933,0.932
72,0.6,0.5,10.0,0.828,0.933,0.932
73,0.6,0.5,2.0,0.828,0.933,0.932
57,0.55,0.5,10.0,0.828,0.933,0.932
59,0.55,0.5,1.75,0.828,0.933,0.932
14,0.0,0.5,1.75,0.828,0.933,0.932
13,0.0,0.5,2.0,0.828,0.933,0.932
12,0.0,0.5,10.0,0.828,0.933,0.932
42,0.5,0.5,10.0,0.828,0.933,0.932
79,0.65,0.2,2.0,0.845,0.927,0.927
75,0.65,0.0,10.0,0.845,0.927,0.927
76,0.65,0.0,2.0,0.845,0.927,0.927
77,0.65,0.0,1.75,0.845,0.927,0.927
78,0.65,0.2,10.0,0.845,0.927,0.927
86,0.65,0.4,1.75,0.84,0.927,0.927
80,0.65,0.2,1.75,0.845,0.927,0.927
81,0.65,0.3,10.0,0.845,0.927,0.927
82,0.65,0.3,2.0,0.845,0.927,0.927
83,0.65,0.3,1.75,0.845,0.927,0.927
84,0.65,0.4,10.0,0.84,0.927,0.927
85,0.65,0.4,2.0,0.84,0.927,0.927
69,0.6,0.4,10.0,0.85,0.924,0.923
71,0.6,0.4,1.75,0.85,0.924,0.923
70,0.6,0.4,2.0,0.85,0.924,0.923
55,0.55,0.4,2.0,0.856,0.921,0.921
56,0.55,0.4,1.75,0.856,0.921,0.921
54,0.55,0.4,10.0,0.856,0.921,0.921
39,0.5,0.4,10.0,0.858,0.92,0.92
9,0.0,0.4,10.0,0.858,0.92,0.92
10,0.0,0.4,2.0,0.858,0.92,0.92
11,0.0,0.4,1.75,0.857,0.92,0.92
24,0.45,0.4,10.0,0.858,0.92,0.92
40,0.5,0.4,2.0,0.858,0.92,0.92
25,0.45,0.4,2.0,0.858,0.92,0.92
26,0.45,0.4,1.75,0.857,0.92,0.92
41,0.5,0.4,1.75,0.857,0.92,0.92
66,0.6,0.3,10.0,0.867,0.916,0.916
68,0.6,0.3,1.75,0.867,0.916,0.916
67,0.6,0.3,2.0,0.867,0.916,0.916
52,0.55,0.3,2.0,0.879,0.913,0.913
53,0.55,0.3,1.75,0.879,0.913,0.913
51,0.55,0.3,10.0,0.879,0.913,0.913
64,0.6,0.2,2.0,0.872,0.913,0.912
63,0.6,0.2,10.0,0.872,0.913,0.912
62,0.6,0.0,1.75,0.872,0.913,0.912
61,0.6,0.0,2.0,0.872,0.913,0.912
60,0.6,0.0,10.0,0.872,0.913,0.912
65,0.6,0.2,1.75,0.872,0.913,0.912
38,0.5,0.3,1.75,0.884,0.912,0.911
8,0.0,0.3,1.75,0.885,0.911,0.911
23,0.45,0.3,1.75,0.885,0.911,0.911
36,0.5,0.3,10.0,0.887,0.91,0.91
37,0.5,0.3,2.0,0.887,0.91,0.91
21,0.45,0.3,10.0,0.891,0.908,0.907
7,0.0,0.3,2.0,0.891,0.908,0.907
22,0.45,0.3,2.0,0.891,0.908,0.907
6,0.0,0.3,10.0,0.892,0.908,0.907
48,0.55,0.2,10.0,0.891,0.904,0.904
49,0.55,0.2,2.0,0.891,0.904,0.904
50,0.55,0.2,1.75,0.891,0.904,0.904
45,0.55,0.0,10.0,0.895,0.902,0.902
46,0.55,0.0,2.0,0.895,0.902,0.902
47,0.55,0.0,1.75,0.895,0.902,0.902
35,0.5,0.2,1.75,0.903,0.9,0.899
33,0.5,0.2,10.0,0.905,0.898,0.898
34,0.5,0.2,2.0,0.905,0.898,0.898
20,0.45,0.2,1.75,0.909,0.896,0.895
5,0.0,0.2,1.75,0.911,0.895,0.894
19,0.45,0.2,2.0,0.917,0.892,0.891
18,0.45,0.2,10.0,0.917,0.892,0.891
32,0.5,0.0,1.75,0.918,0.892,0.891
30,0.5,0.0,10.0,0.92,0.89,0.89
31,0.5,0.0,2.0,0.92,0.89,0.89
4,0.0,0.2,2.0,0.923,0.889,0.888
3,0.0,0.2,10.0,0.926,0.888,0.887
17,0.45,0.0,1.75,0.932,0.884,0.884
16,0.45,0.0,2.0,0.94,0.881,0.88
15,0.45,0.0,10.0,0.94,0.881,0.88
2,0.0,0.0,1.75,0.952,0.875,0.874
1,0.0,0.0,2.0,0.976,0.863,0.862
0,0.0,0.0,10.0,1.0,0.852,0.851
