,ethnic origin,baseline_share,min_proba,min_distance,max_entropy,N_samples,sample_share
0,0,0.05865921787709497,0,0,10,157,0.06264964086193137
1,1,0.05826017557861133,0,0,10,155,0.06185155626496409
2,2,0.05746209098164405,0,0,10,130,0.05187549880287311
3,3,0.06264964086193137,0,0,10,180,0.07182761372705507
4,4,0.06225059856344772,0,0,10,148,0.05905826017557861
5,5,0.06424581005586592,0,0,10,159,0.06344772545889864
6,6,0.06544293695131684,0,0,10,178,0.0710295291300878
7,7,0.057063048683160415,0,0,10,154,0.061452513966480445
8,8,0.060654429369513166,0,0,10,147,0.05865921787709497
9,9,0.060654429369513166,0,0,10,154,0.061452513966480445
10,10,0.05905826017557861,0,0,10,151,0.06025538707102953
11,11,0.06025538707102953,0,0,10,140,0.055865921787709494
12,12,0.036312849162011177,0,0,10,83,0.03312051077414206
13,13,0.057063048683160415,0,0,10,132,0.052673583399840386
14,14,0.05865921787709497,0,0,10,160,0.06384676775738228
15,15,0.06225059856344772,0,0,10,144,0.05746209098164405
16,16,0.05905826017557861,0,0,10,134,0.053471667996807665
0,0,0.05865921787709497,0,0,2,152,0.06214227309893704
1,1,0.05826017557861133,0,0,2,154,0.06295993458708095
2,2,0.05746209098164405,0,0,2,128,0.05233033524121014
3,3,0.06264964086193137,0,0,2,179,0.0731807031888798
4,4,0.06225059856344772,0,0,2,133,0.05437448896156991
5,5,0.06424581005586592,0,0,2,153,0.06255110384300899
6,6,0.06544293695131684,0,0,2,175,0.07154538021259199
7,7,0.057063048683160415,0,0,2,154,0.06295993458708095
8,8,0.060654429369513166,0,0,2,146,0.059689288634505316
9,9,0.060654429369513166,0,0,2,154,0.06295993458708095
10,10,0.05905826017557861,0,0,2,145,0.05928045789043336
11,11,0.06025538707102953,0,0,2,140,0.05723630417007359
12,12,0.036312849162011177,0,0,2,81,0.03311529026982829
13,13,0.057063048683160415,0,0,2,132,0.05396565821749796
14,14,0.05865921787709497,0,0,2,156,0.06377759607522486
15,15,0.06225059856344772,0,0,2,135,0.05519215044971382
16,16,0.05905826017557861,0,0,2,129,0.0527391659852821
0,0,0.05865921787709497,0,0,1.75,145,0.06079664570230608
1,1,0.05826017557861133,0,0,1.75,153,0.06415094339622641
2,2,0.05746209098164405,0,0,1.75,126,0.052830188679245285
3,3,0.06264964086193137,0,0,1.75,176,0.07379454926624739
4,4,0.06225059856344772,0,0,1.75,123,0.05157232704402516
5,5,0.06424581005586592,0,0,1.75,146,0.061215932914046124
6,6,0.06544293695131684,0,0,1.75,170,0.07127882599580712
7,7,0.057063048683160415,0,0,1.75,151,0.06331236897274634
8,8,0.060654429369513166,0,0,1.75,144,0.06037735849056604
9,9,0.060654429369513166,0,0,1.75,153,0.06415094339622641
10,10,0.05905826017557861,0,0,1.75,144,0.06037735849056604
11,11,0.06025538707102953,0,0,1.75,138,0.05786163522012579
12,12,0.036312849162011177,0,0,1.75,77,0.03228511530398323
13,13,0.057063048683160415,0,0,1.75,130,0.05450733752620545
14,14,0.05865921787709497,0,0,1.75,154,0.06457023060796646
15,15,0.06225059856344772,0,0,1.75,129,0.05408805031446541
16,16,0.05905826017557861,0,0,1.75,126,0.052830188679245285
0,0,0.05865921787709497,0,0.2,10,151,0.06508620689655173
1,1,0.05826017557861133,0,0.2,10,150,0.06465517241379311
2,2,0.05746209098164405,0,0.2,10,120,0.05172413793103448
3,3,0.06264964086193137,0,0.2,10,162,0.06982758620689655
